date,store_nbr,family,predicted
2017-09-02,45,GROCERY I,16318.042
2017-09-03,45,GROCERY I,18587.434
2017-09-04,45,GROCERY I,11349.581
2017-09-05,45,GROCERY I,9649.844
2017-09-06,45,GROCERY I,9623.823
2017-09-07,45,GROCERY I,8396.363
2017-09-08,45,GROCERY I,11382.397
2017-09-09,45,GROCERY I,13473.63
2017-09-10,45,GROCERY I,16398.592
2017-09-11,45,GROCERY I,9218.316
2017-09-12,45,GROCERY I,8795.926
2017-09-13,45,GROCERY I,9281.402
2017-09-14,45,GROCERY I,8148.579
2017-08-16,47,GROCERY I,8488.172
2017-08-17,47,GROCERY I,8124.0566
2017-08-18,47,GROCERY I,8841.5205
2017-08-19,47,GROCERY I,13960.031
2017-08-20,47,GROCERY I,16241.505
2017-08-21,47,GROCERY I,9805.553
2017-08-22,47,GROCERY I,8131.325
2017-08-23,47,GROCERY I,9848.204
2017-08-24,47,GROCERY I,7942.1294
2017-08-25,47,GROCERY I,9876.188
2017-08-26,47,GROCERY I,11814.445
2017-08-27,47,GROCERY I,14842.561
2017-08-28,47,GROCERY I,9685.94
2017-08-29,47,GROCERY I,8993.019
2017-08-30,47,GROCERY I,9291.985
2017-08-31,47,GROCERY I,9285.707
2017-09-01,47,GROCERY I,10949.517
2017-09-02,47,GROCERY I,16405.8
2017-09-03,47,GROCERY I,17124.252
2017-09-04,47,GROCERY I,9709.6
2017-09-05,47,GROCERY I,9396.056
2017-09-06,47,GROCERY I,10170.481
2017-09-07,47,GROCERY I,7925.1396
2017-09-08,47,GROCERY I,10061.69
2017-09-09,47,GROCERY I,13873.81
2017-09-10,47,GROCERY I,16311.9
2017-09-11,47,GROCERY I,9720.883
2017-09-12,47,GROCERY I,8590.429
2017-09-13,47,GROCERY I,8869.789
2017-09-14,47,GROCERY I,8519.917
2017-08-16,46,GROCERY I,7145.1816
2017-08-17,46,GROCERY I,6760.853
2017-08-18,46,GROCERY I,7851.135
2017-08-19,46,GROCERY I,12836.081
2017-08-20,46,GROCERY I,14719.692
2017-08-21,46,GROCERY I,6787.0127
2017-08-22,46,GROCERY I,7223.668
2017-08-23,46,GROCERY I,7951.8633
2017-08-24,46,GROCERY I,7651.483
2017-08-25,46,GROCERY I,7312.4077
2017-08-26,46,GROCERY I,12167.531
2017-08-27,46,GROCERY I,15360.173
2017-08-28,46,GROCERY I,9672.228
2017-08-29,46,GROCERY I,7396.24
2017-08-30,46,GROCERY I,7139.648
2017-08-31,46,GROCERY I,7199.158
2017-09-01,46,GROCERY I,8593.564
2017-09-02,46,GROCERY I,16291.738
2017-09-03,46,GROCERY I,17096.984
2017-09-04,46,GROCERY I,8369.034
2017-09-05,46,GROCERY I,8064.903
2017-09-06,46,GROCERY I,8124.0933
2017-09-07,46,GROCERY I,7631.8037
2017-09-08,46,GROCERY I,8804.466
2017-09-09,46,GROCERY I,13214.404
2017-09-10,46,GROCERY I,16490.586
2017-09-11,46,GROCERY I,7949.5835
2017-09-12,46,GROCERY I,8115.741
2017-09-13,46,GROCERY I,8021.4746
2017-09-14,46,GROCERY I,7461.2046
2017-08-16,44,BEVERAGES,8250.253
2017-08-17,44,BEVERAGES,7230.566
2017-08-18,44,BEVERAGES,8872.487
2017-08-19,44,BEVERAGES,12886.293
2017-08-20,44,BEVERAGES,12436.206
2017-08-21,44,BEVERAGES,8528.39
2017-08-22,44,BEVERAGES,6838.484
2017-08-23,44,BEVERAGES,8150.675
2017-08-24,44,BEVERAGES,6901.6333
2017-08-25,44,BEVERAGES,8187.9556
2017-08-26,44,BEVERAGES,11288.295
2017-08-27,44,BEVERAGES,11844.286
2017-08-28,44,BEVERAGES,8141.362
2017-08-29,44,BEVERAGES,7389.771
2017-08-30,44,BEVERAGES,8439.847
2017-08-31,44,BEVERAGES,4806.6616
2017-09-01,44,BEVERAGES,9004.089
2017-09-02,44,BEVERAGES,13399.511
2017-09-03,44,BEVERAGES,14116.78
2017-09-04,44,BEVERAGES,9197.465
2017-09-05,44,BEVERAGES,8053.005
2017-09-06,44,BEVERAGES,8397.747
2017-09-07,44,BEVERAGES,8025.5693
2017-09-08,44,BEVERAGES,8391.102
2017-09-09,44,BEVERAGES,14150.2705
2017-09-10,44,BEVERAGES,14255.855
2017-09-11,44,BEVERAGES,8321.295
2017-09-12,44,BEVERAGES,8355.028
2017-09-13,44,BEVERAGES,9245.906
2017-09-14,44,BEVERAGES,7224.3755
